nomopera;ndias;v_codigbus;v_edad;ndias_ant;ndias_ant_area;ndias_ant_tipo;capacidad;marca;modelo;potencia;tipo;subtipo
Compresor a.a;4;B117;16;2;7;1135;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Cambiar/limpiar filtros;4;B117;16;2;2;7;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Frenos 2º eje;2;E641;1;19;48;80;5;MERCEDES BENZ;E 220 BLUETEC;;TURISMO;Turismo Mercedes E
Fuga de aire;2;J264;14;11;21;82;40;IVECO;DCR;317;Discrecional;Normal
Trampilla techo;2;T300;4;4;4;1601;55;VOLVO;SC7;315;Discrecional;Normal
Porton motor;2;D325;13;1;1;4899;24;MERCEDES BENZ;SPRINTER;115;Discrecional;Microbus
Manguito/s motor;2;D325;13;1;1;4899;24;MERCEDES BENZ;SPRINTER;115;Discrecional;Microbus
Sonda nivel;2;D325;13;1;1;4899;24;MERCEDES BENZ;SPRINTER;115;Discrecional;Microbus
Porton/es maletero;2;B166;1;4;4;105;39;CUMMINS;C10;226;Discrecional;Midibus
Frenos 2º eje;2;D313;2;13;13;84;19;MERCEDES BENZ;SPICA;140;Discrecional;Microbus
Trampilla techo;2;U208;34;5;20;12342;71;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Ventilador;2;B145;8;18;18;2792;55;MAN;CELERIS;257;Discrecional;Normal
Fallo en retarde/intarde;2;B145;8;18;18;2792;55;MAN;CELERIS;257;Discrecional;Normal
Fallo en ABS/EBS;2;B145;8;18;18;49;55;MAN;CELERIS;257;Discrecional;Normal
Catalizador;2;B148;6;1;1;85;83;MAN;AREA;206;Urbano;Normal
Fuelles 2º eje;2;B161;11;20;20;4103;55;VOLVO;SIDERAL 2000;309;Discrecional;Normal
Frenos 2º eje;2;B161;11;20;42;327;55;VOLVO;SIDERAL 2000;309;Discrecional;Normal
Fuga de aire;2;J266;13;1;1;1;55;SCANIA;ATLANTIS;280;Discrecional;Normal
Ruido al ir en marcha;2;J266;13;1;1;4857;55;SCANIA;ATLANTIS;280;Discrecional;Normal
Timoneria cambio;2;A109;9;8;8;36;36;TEMSA;OPALIN 8.4;;MICROBUS;Micro 35 Plazas
Cambio filtro aire;2;T526;14;8;182;5265;5;MERCEDES BENZ;SIN ASIGNAR;;TURISMO;
Instalaciones electricas;2;B164;1;6;6;6;59;MAN;i6 13.37;324;Discrecional;Normal
Manguito/s motor;2;T252;10;8;11;116;27;IVECO;DIVO II INTERCITY;259;Discrecional;Normal
